holding_month,Equal_Weight,Static_MV,Reactive_HMM,Macro_Forward
2015-03-31,0.0,0.0,0.0,0.0
2015-04-30,-0.009619531759047284,-0.011855828614127262,-0.0008895168395082198,-0.013640381308438587
2015-05-31,-0.010884270450295164,-0.01668993822656306,0.0,-0.02007938733023862
2015-06-30,-0.04136150682983264,-0.04624960260452149,-0.024579555174785828,-0.04837820950363403
2015-07-31,-0.026049620726201983,-0.014440526903338857,0.0,-0.018490882124105212
2015-08-31,-0.05876185067912365,-0.04926019675829307,-0.049475377769636175,-0.05788861923266497
2015-09-30,-0.06581171935299301,-0.05274953928835757,-0.03918478080324472,-0.05932252462408705
2015-10-31,-0.023304199234020162,-0.013671588497483511,-0.021917396200239136,-0.027278965689526147
2015-11-30,-0.04016753894958591,-0.015936443632411423,-0.020984053827227123,-0.029899584326981477
2015-12-31,-0.04588356154265938,-0.02616446711559961,-0.03489561303755562,-0.03957652342366236
2016-01-31,-0.05151080386121487,-0.02503977006784952,-0.009492601907304832,-0.027580021952111733
2016-02-29,-0.03209424490926027,-0.010422803646283896,0.0,-0.010041499917750385
2016-03-31,0.0,0.0,0.0,0.0
2016-04-30,0.0,-0.0016781184975626084,0.0,-0.003323711656195716
2016-05-31,-0.0029373656330397013,0.0,0.0,0.0
2016-06-30,0.0,0.0,0.0,0.0
2016-07-31,0.0,0.0,0.0,0.0
2016-08-31,-0.014760113040220513,-0.004480660584361806,-0.0016098769623911213,-0.004382292937231913
2016-09-30,-0.01733995714794412,-0.01194195939621967,-0.005195555026458631,-0.01189197300716971
2016-10-31,-0.05078185726667106,-0.042072895261530685,-0.02846520457953794,-0.041520750422179176
2016-11-30,-0.0818088181572294,-0.06293492953369684,-0.016625981855382443,-0.06647098140842045
2016-12-31,-0.06863654402229635,-0.055010968412091965,-0.0008005877388886917,-0.05663319608541961
2017-01-31,-0.04792264894991527,-0.04244689426596471,0.0,-0.04339656974445549
2017-02-28,-0.02241122167149001,-0.01537171128868875,0.0,-0.013799953800215037
2017-03-31,-0.022704207964558965,-0.01773674075577325,-0.00013602931134160112,-0.014996005276794455
2017-04-30,-0.009102498579844909,-0.005326159871748226,0.0,-0.0031163954380858394
2017-05-31,0.0,0.0,0.0,0.0
2017-06-30,0.0,0.0,0.0,0.0
