,Annual Return,Annual Volatility,Sharpe Ratio,Max Drawdown
Equal_Weight,0.09401221652454339,0.11973024057955046,0.7852002641060455,-0.23981235300656856
Static_MV,0.08950587650393005,0.11610029819021785,0.770935802053534,-0.266611015961281
Macro_Forward,0.07898299661945973,0.11362161280694234,0.6951406045754864,-0.33443216746304016
Reactive_HMM,0.05965194336860269,0.11497986335630028,0.5188033941539215,-0.33744553130376365
