,Bull,Neutral,Crisis
SPY,0.5169855972882273,0.14781144579129957,0.17825835878435306
EFA,0.01738180464247207,0.16079253712086947,0.06789891192283284
GLD,0.10332286713443632,0.21677350215594116,0.2747382783697167
TLT,0.34563836932500147,0.45341466033578093,0.46414604729439457
VNQ,0.016671361609862784,0.02120785459610894,0.014958403628702812
