Portfolio,Return,Volatility,Sharpe_Ratio
Equal Weight,0.0792741151430345,0.11082787792087226,0.3904623633949835
Minimum Variance,0.07322011795281323,0.08947337130232047,0.4159910083979136
Maximum Sharpe,0.10155162330257186,0.10797943809705568,0.6070750548234172
