volatility,return
0.08947337130232047,0.07322011795281323
0.08957660063606192,0.07553722226399778
0.08975670917418826,0.07823837802048238
0.089805360906825,0.0792012725741163
0.09044270276275448,0.08057874809118236
0.09055880497585488,0.08264170097929299
0.09097856348877711,0.08265359495851307
0.09146849000561934,0.08538170473678029
0.09383385838035611,0.08783366302017856
0.0947422795403319,0.08880980057579092
0.09598815843517994,0.08949494087476453
0.09633617716538499,0.09035832290278553
0.09811458479273429,0.09177330009869974
0.09822007977325706,0.09200883938371071
0.10085992137913675,0.09238616854181753
0.10111686292577422,0.09269826932124844
0.10119413405276853,0.0936384042563484
0.10189549025108172,0.09417778177671571
0.10220770445002637,0.0944240830916939
0.10419392463272992,0.09691228788032931
0.10468311088174746,0.09715918997212619
0.10504529577752113,0.09747602964736794
0.10626851238435944,0.10001250413524215
0.10797943809705568,0.10155162330257186
0.11110222745316292,0.10218785626560799
0.11220006205530769,0.10396881520928455
0.1154408192487117,0.10444287347736197
0.11845899553554454,0.10712634520915335
0.1210891984090629,0.1075576361844548
0.12459946346773304,0.11020009388943275
0.12922357136180485,0.11052369987011394
0.13024320850484372,0.11159120105414533
0.13513222742652037,0.11348634641906154
0.14176094136082756,0.11431092636657185
0.14411595806565633,0.11846974282683291
