regime,S_P_Y___r_e_t_u_r_n___m_e_a_n,S_P_Y___r_e_t_u_r_n___s_t_d,S_P_Y___v_o_l_a_t_i_l_i_t_y___m_e_a_n
0,-0.0008511875856907052,0.03656635706441766,0.034481920854200834
1,0.0008609665856438679,0.006592123381331618,0.006543643965634408
2,-0.00016255707270346434,0.013961631636777652,0.013568537683624208
