Asset,Min_Variance,Max_Sharpe
EFA,0.05377715919285568,6.992177019235207e-05
GLD,0.19231302369887784,0.3694322705299054
SPY,0.2996139629790649,0.4952196136396478
TLT,0.436342984238013,0.12424168929049884
VNQ,0.01795286989118855,0.011036504769755748
