Regime,Min_Vol_Return,Min_Vol_Volatility,Max_Sharpe_Return,Max_Sharpe_Volatility,Max_Sharpe_Ratio
Bull,0.12337091321795154,0.07094389536898213,0.1870553358701813,0.08883234818857412,1.7004541583153883
Neutral,0.03835938637711707,0.09949682957818139,0.08338756886778059,0.13423456752457075,0.35302060968093496
Crisis,0.3095785888475662,0.20922286072813864,0.552202848749432,0.24344897613256994,2.120373874434921
