,Bull,Neutral,Crisis
SPY,0.8410699155141983,0.019206334319401854,0.07084097390816253
EFA,0.005702006165512473,0.007286133009535426,0.003423473937180206
GLD,0.03141614541332323,0.7363077642920114,0.6496572711074845
TLT,0.10807204278007246,0.1854903428807569,0.2666940086743008
VNQ,0.013739890126893552,0.05170942549829449,0.00938427237287199
