volatility,return,sharpe_ratio
0.11191354221191532,0.07681147012069234,0.3646696308067281
0.11566888115314214,0.07312575242047435,0.32096577792017345
0.11371989061751502,0.08437687601589583,0.4254038212066736
0.0973294863760385,0.07109417399170267,0.36057083314006366
0.128102323536774,0.09765697887533815,0.48131038667412185
0.11857712447600288,0.07689280587558867,0.34486251927844963
0.10801650288785772,0.06856212637499423,0.3014551064368386
0.09241668491683258,0.07858200906470869,0.4607610530828822
0.10744632457617527,0.07116686193880155,0.32729702088478246
0.09205594975067723,0.06704061527511258,0.33719292842214393
0.118756935426792,0.08487397934329372,0.41154631658057733
0.13014328226650185,0.06678743993884949,0.23656572511982824
0.11457847241395243,0.07438633863436818,0.3350222587685137
0.1107203059922051,0.07606997204207502,0.3619026490488206
0.14429820623364137,0.08143692394474358,0.31488211205601613
0.13471144526920203,0.07937699479505578,0.32199932758774064
0.12434625519250286,0.10056904294012438,0.5192680940826387
0.09680912316665526,0.07193777860926183,0.3712230566058899
0.11699382209620568,0.0808365807623528,0.38323887500216075
0.1464303217937585,0.07781975434769227,0.28559490845477886
0.13786762324972826,0.09583444667233561,0.4339992614796422
0.12249853003913351,0.08876727637433302,0.43075844548890446
0.11331618366372372,0.08927055656361504,0.470105459266969
0.12042415112960358,0.06238201419881709,0.2190757746793173
0.12359988817101976,0.08511001957125054,0.3973306149217478
0.14200944593028797,0.0916077900941647,0.3915781075680163
0.13023103746303705,0.1010103320398886,0.49919230704385825
0.12557712412112781,0.1040043710962337,0.5415347068359264
0.14969694735444858,0.09580726894304523,0.39952230155659163
0.14202693559369545,0.0771817573207708,0.289957374272876
0.10676017280878941,0.08162903704669594,0.427397557031112
0.125325458625697,0.08657174125012479,0.4035232889206077
0.12576336699588544,0.07854255467985237,0.3382746160194981
0.0986808031507717,0.0634914792200594,0.2785899419368925
0.11413216173180214,0.08093578629887929,0.3937171224748497
0.12030203089091834,0.08601263957035199,0.4157256465246213
0.09216401941606538,0.07472606649286945,0.4201863887689668
0.13467412434185375,0.08974048642612711,0.3990409196180365
0.13686065125007824,0.08313262228902714,0.34438402753837694
0.11339212792315291,0.08642003879079262,0.4446520205085386
0.09426066856892495,0.08192852045087254,0.4872501028070775
0.09533957910640592,0.07027572017100678,0.3595119728056758
0.10028625491158176,0.07112683621713667,0.350265709374695
0.1097299969207311,0.08303078057841712,0.4286045921644574
0.1450928049319044,0.08932527953616057,0.3675253198198727
0.119375516550319,0.06994494923701086,0.2843543652663688
0.10401790959098196,0.07828951017513669,0.4065598928244859
0.10181803728136785,0.06300369159531774,0.26521520465666326
0.13063908113768413,0.08264729249823652,0.35706996782282674
0.15030014192973326,0.06920816474253312,0.2209456645627005
0.09873662538505062,0.06019489990344855,0.24504483325304957
0.11008475944458147,0.07442466670485329,0.34904619766369127
0.14227094869973458,0.08338500448771342,0.3330617031852394
0.1332013840003364,0.08762396267855338,0.38756326044197115
0.12450199750274583,0.07425319289352827,0.30724963181963905
0.12215315448039286,0.07971250197730692,0.357849964360301
0.10180343286419632,0.08204348148378898,0.45227827970408463
