holding_month,Equal_Weight,Static_MV,Reactive_HMM,Macro_Forward
2018-02-28,0.9574679752204623,0.9663321182848585,0.9643951508888764,0.9664176624483523
2018-03-31,0.9647481858045511,0.9644221205077687,0.9809454792053904,0.9715078865812863
2018-04-30,0.9643959188951223,0.9577898800969395,0.9689225684687904,0.9609952528893675
2018-05-31,0.9740881318592921,0.9791934101756279,0.9923939489356074,0.9825152328844389
2018-06-30,0.9745244455342612,0.9851434162473169,0.998191464165051,0.9883968070624363
2018-07-31,0.9813061673473875,0.9982790672635354,1.0190391832578707,1.012378640048851
2018-08-31,0.9866155400953059,1.021579200555865,1.0461331634084483,1.0378948851992114
2018-09-30,0.9774802816599298,1.0115464318260359,1.0476334128664135,1.031319003939402
2018-10-31,0.9407658410235321,0.9598001622352293,0.9835189755752456,0.9740794237428211
2018-11-30,0.9579823799980037,0.977308853034302,1.0054693125549836,0.9911366869878738
2018-12-31,0.9363108539955395,0.9567156007715574,1.0262324738370836,0.9946722023018032
2019-01-31,0.9920424653152238,0.9984817726671534,1.0676059597952776,1.0309725385154673
2019-02-28,1.000947064784997,1.00901922651012,1.0597713536033224,1.0298968888658595
2019-03-31,1.0228063878723126,1.0450773806794507,1.088892126804102,1.056940176749903
2019-04-30,1.0313949369987674,1.0575978355313835,1.114070857351112,1.0846719572265267
2019-05-31,1.0258768173375654,1.0557391907689444,1.0602849273861712,1.0686691591075357
2019-06-30,1.073841991083769,1.0985162787307838,1.1113728547972261,1.1257848446232985
2019-07-31,1.0771351927839785,1.1085057618462297,1.124074281005743,1.1390165951447657
2019-08-31,1.1183018869668322,1.1574746224611905,1.120881169178631,1.1934100041173314
2019-09-30,1.1204539548216088,1.1535707994006614,1.103125916703045,1.1794261923754084
2019-10-31,1.138775290384078,1.160385248844413,1.1226535912933417,1.1913093617611457
2019-11-30,1.138381474418378,1.179762903293241,1.1337251501947225,1.2108534079780706
2019-12-31,1.1546108845652001,1.1794561032491397,1.1569501255916779,1.2195844012243289
2020-01-31,1.1789880717097545,1.2221605167252263,1.1678056048163057,1.2518425877578696
2020-02-29,1.1395673181616808,1.2110209460063108,1.1555219992476644,1.241486111494333
2020-03-31,1.0487864228807953,1.1732844425076638,1.1596570994114566,1.2357229089636608
2020-04-30,1.1242105966368359,1.2502843180968717,1.1895091577111947,1.2897303264567148
2020-05-31,1.1528823796457792,1.266489949432142,1.1718906619897336,1.2854107158840307
2020-06-30,1.1777474757754332,1.2793580651190184,1.1793505934187867,1.2948417751096988
2020-07-31,1.2406281678471176,1.344867506972861,1.2374382610023513,1.3610146830841394
2020-08-31,1.2574359896216918,1.3531624233035655,1.2429462309305581,1.3651558057379294
2020-09-30,1.2276261178208459,1.3335370617497175,1.2042615990652576,1.3362128024983595
2020-10-31,1.195830063429717,1.294275115143785,1.1652862565771116,1.2951788064356482
2020-11-30,1.2701565134741646,1.3714676333304665,1.190877545719717,1.3393433707521152
2020-12-31,1.3139529084961479,1.387274086725381,1.2142269095043141,1.3540491662618477
2021-01-31,1.2912961386010289,1.3544599736348555,1.1969001456141963,1.3262522747988073
2021-02-28,1.2821376182681707,1.3331766507228229,1.1781324652857836,1.3046588984516454
2021-03-31,1.2970527488207877,1.3283072829190712,1.1823455526138618,1.2989502416279894
2021-04-30,1.3545424723818211,1.380320297225364,1.236801853944993,1.3495287838160455
2021-05-31,1.3887498353458017,1.384945765207148,1.2435944587536374,1.3562239441677664
2021-06-30,1.3917320067696473,1.4291949000057984,1.2667021923334194,1.3994583917759478
2021-07-31,1.4303715835866895,1.4730832605328643,1.3003349741951613,1.4401615606466913
2021-08-31,1.4479951922700074,1.4927117121902789,1.3310557516109687,1.4650013198119531
2021-09-30,1.3908457308327382,1.4360502831630475,1.2732804107620317,1.4062783252821196
2021-10-31,1.4500213160842492,1.5046678655548533,1.3356440579627546,1.4731199707201221
2021-11-30,1.4344593485280872,1.5189353269640584,1.337149747764221,1.4873228468557318
2021-12-31,1.4918566818363468,1.5395726226170496,1.3805662914210013,1.5071053951023086
2022-01-31,1.423459752683304,1.4685831052982932,1.3082637027741117,1.4379421417545257
2022-02-28,1.4081579530051822,1.4346391483589247,1.2884323261828428,1.406118284528552
2022-03-31,1.426098093049707,1.42491185673763,1.2328325905921136,1.366507955158058
2022-04-30,1.337400468352591,1.2977361969811652,1.1282651990886876,1.2516923106293965
2022-05-31,1.3160592140735556,1.2847531899657774,1.0998813843318516,1.2210822999027766
2022-06-30,1.244196835153652,1.2212720012821219,1.0847747990886258,1.1887830468596488
2022-07-31,1.301022835854519,1.292296949393778,1.1111459464750308,1.2188224815264275
2022-08-31,1.2393387098869828,1.2369901568415167,1.060010435458088,1.1671802013293526
2022-09-30,1.1340910206166008,1.129105601554944,0.9727172186044584,1.0667034492016318
2022-10-31,1.1562637372947169,1.1498426264806492,0.9147003657123749,1.003080871223002
2022-11-30,1.2499587407951227,1.2217616322785758,0.9801113031999199,1.0748119676803871
2022-12-31,1.2192110062666843,1.1701609984810337,0.9544317423546576,1.0460573853214299
2023-01-31,1.31454807133281,1.2499082519278224,1.0273853066843013,1.1223402156785527
2023-02-28,1.2575717772274588,1.204664283574293,0.9772422092976176,1.0811086354704305
2023-03-31,1.301427909027628,1.2569084635776635,1.0076575158979235,1.1297155766458469
2023-04-30,1.3171687240237564,1.2700683633207726,1.0162837824375714,1.1430752687279147
2023-05-31,1.2859141480848464,1.2568340571188208,0.9990789878424142,1.131384718456881
2023-06-30,1.3233990940661944,1.3006082028540495,1.0253432648696226,1.1691070191430428
2023-07-31,1.3439267320607489,1.3125728187688122,1.048085113423629,1.1899235828328856
2023-08-31,1.3080225079804517,1.2838626375717155,1.0283944847521724,1.1650234148100356
2023-09-30,1.2338111937164857,1.207462296923037,0.9747106117823883,1.101490695398437
2023-10-31,1.2170684473730726,1.173394499197258,0.9498809592139499,1.0773068655392444
2023-11-30,1.319034677266493,1.2759842925321043,1.0193365681769242,1.168612420148463
2023-12-31,1.3964086226488341,1.3486139440002431,1.07051274242641,1.22895366964154
2024-01-31,1.3752239792211374,1.3482968191597502,1.0820217440464694,1.2344524604654306
2024-02-29,1.3982944515812077,1.3780052549068542,1.1284824888602338,1.2731084744298087
2024-03-31,1.4487758504799704,1.4166483907082292,1.1766361273951798,1.311460397260439
2024-04-30,1.3946347594372661,1.3578916955004336,1.1259601118399263,1.260911375196025
2024-05-31,1.4481434300230398,1.4116732224601964,1.1663410300717156,1.3108049596342752
2024-06-30,1.463375914673415,1.4476987084860764,1.2057459218632665,1.3472422145030165
2024-07-31,1.5240737979259127,1.4831451992103435,1.2232223026115001,1.3763285435226038
2024-08-31,1.569860074681429,1.5162903381372714,1.2558760839471785,1.4071479435833483
2024-09-30,1.611435466422519,1.553185830946626,1.2964642004286535,1.4417137043515096
2024-10-31,1.5770225555978936,1.527268591414769,1.2919033149438923,1.4203177777992835
2024-11-30,1.6046835482476591,1.5789207307969972,1.365080522099064,1.475970798033902
2024-12-31,1.5356236681539137,1.523722986489834,1.3118640739034984,1.4256846602408162
2025-01-31,1.586037587745774,1.5638071196961687,1.3537821133772971,1.4641187709605625
2025-02-28,1.6269633799103704,1.5825886374093985,1.3783913290437082,1.4799588017828527
2025-03-31,1.627829052243619,1.5523343296845429,1.3843598683583358,1.4548678115442835
2025-04-30,1.6423204606833008,1.555636221950776,1.3967448139609946,1.486932755483165
2025-05-31,1.6716499075824414,1.5927036902584149,1.3674560743932378,1.4659015066987084
2025-06-30,1.7094041400065347,1.6479071275372148,1.3977900785759072,1.5160001444182098
2025-07-31,1.704439733436832,1.6608944348785903,1.4259322949019488,1.5336805315104485
2025-08-31,1.7557585781839482,1.6964201408041852,1.4526038134208477,1.5668220587615003
2025-09-30,1.8296237150624601,1.787587764739087,1.504375937452789,1.6447198922950454
2025-10-31,1.8518456058900423,1.8307715684407784,1.5389887797287292,1.6844071431386283
2025-11-30,1.8851714870257776,1.857214191801192,1.5740529774951053,1.7097608037565803
2026-01-31,1.9652074305085547,1.9293536114863095,1.5946204129928452,1.7825861135462064
2026-02-28,2.0520000798691407,1.985347880019201,1.5896660951489212,1.8370323595642009
