decision_date,decision_month,holding_month,current_regime,prediction_current_regime,regime_match,actual_next_regime,hmm_seed,hmm_score,current_raw_state,Bull_count,Neutral_count,Crisis_count,raw_state_mean_return,raw_state_mean_vol,p_Bull,p_Neutral,p_Crisis,equal_weight_return,static_mv_return,reactive_hmm_return,macro_forward_return,equal_weight_turnover,static_mv_turnover,reactive_hmm_turnover,macro_forward_turnover,reactive_fallback,macro_fallback,macro_used_probability,weight_equal_EFA,weight_equal_GLD,weight_equal_SPY,weight_equal_TLT,weight_equal_VNQ,weight_static_EFA,weight_static_GLD,weight_static_SPY,weight_static_TLT,weight_static_VNQ,weight_reactive_EFA,weight_reactive_GLD,weight_reactive_SPY,weight_reactive_TLT,weight_reactive_VNQ,weight_macro_EFA,weight_macro_GLD,weight_macro_SPY,weight_macro_TLT,weight_macro_VNQ
2018-01-31,2018-01-31,2018-02-28,Bull,Bull,True,Crisis,42,-3403.4587701467444,0,1045,673,296,0.0006623421762615065,0.005252352915355432,0.36,0.52,0.12,-0.04253202477953764,-0.03366788171514145,-0.035604849111123625,-0.033582337551647766,,,,,False,False,1.0,0.2,0.2,0.2,0.2,0.2,2.770901028000247e-16,0.0,0.5471828938951552,0.45281710610484455,0.0,0.0,4.649609344063582e-17,0.872931286519617,0.127068713480383,0.0,0.0,0.0,0.5327965527444085,0.46720344725559126,1.560601837407434e-16
2018-02-28,2018-02-28,2018-03-31,Crisis,Crisis,True,Crisis,42,-3424.825367868662,1,1046,673,314,-0.0001413616067366896,0.016380386420590438,0.2857142857142857,0.2857142857142857,0.4285714285714285,0.00760360740254793,-0.00197654382064826,0.01716135580032692,0.00526710585983957,0.0,0.002600821290735275,1.381534348156556,0.24909863563870205,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,0.0,8.657398573776061e-17,0.5458824832497878,0.4541175167502121,0.0,0.0,0.10233947676995869,0.18216411244133898,0.6139647811759456,0.10153162961275689,2.621181335364065e-16,0.020869028434122215,0.40824723492505766,0.5708837366408198,0.0
2018-03-29,2018-03-31,2018-04-30,Crisis,Crisis,True,Bull,42,-3470.642971249326,2,1055,671,328,-0.0002535766703024352,0.016248516577048653,0.25,0.25,0.5,-0.0003651387114400607,-0.006876906149080395,-0.012256451547479596,-0.010820945292490128,0.0,0.01654173266370746,0.1705751885240463,0.09736076290916797,False,False,1.0,0.2,0.2,0.2,0.2,0.2,0.0,8.143590329597929e-18,0.5376116169179342,0.4623883830820658,9.5538542649746e-17,0.0,0.09921003072136168,0.10000596422791282,0.6325593135649902,0.16822469148573538,2.5213237493917627e-17,0.03911897884402272,0.3595668534704739,0.5927111322813703,0.008603035404133005
2018-04-30,2018-04-30,2018-05-31,Bull,Bull,True,Neutral,42,-3519.552252685267,1,675,1055,345,0.0006580593134873656,0.009189260295474063,0.3461538461538461,0.5,0.1538461538461538,0.010050035233738708,0.02234679079770828,0.024224206588467845,0.02239343007196825,0.0,0.004579817771332758,0.6142453777180179,0.38254039739045537,False,False,0.9999999999999998,0.2,0.2,0.2,0.2,0.2,0.0,1.3079732761991289e-16,0.5399015258036004,0.46009847419639943,0.0,1.020999033520816e-17,0.0,0.40712865308692164,0.44701823651019457,0.14585311040288368,0.0,2.0024201614864252e-16,0.5508370521657017,0.4491629478342982,0.0
2018-05-31,2018-05-31,2018-06-30,Neutral,Neutral,True,Neutral,42,-3566.360581035945,1,683,1069,345,0.0006436257841238381,0.005285158413746212,0.3783783783783784,0.5945945945945946,0.027027027027027,0.00044792012211074587,0.006076435982776729,0.005841949394856468,0.005986242229273539,0.0,0.001265697989436891,0.9274459815483878,0.23194574813132837,False,False,1.0,0.2,0.2,0.2,0.2,0.2,3.1716119753290224e-18,2.6244287091398454e-17,0.5392686768088821,0.4607313231911179,1.8411274773137644e-17,7.375864626100455e-16,8.518577987087267e-18,0.8708516438611148,0.12914835613888387,5.30291171691667e-16,0.0,0.0,0.6668099262313658,0.3331900737686342,0.0
2018-06-29,2018-06-30,2018-07-31,Neutral,Neutral,True,Bull,42,-3700.9935458004898,1,599,903,616,0.0004821393563277233,0.007263184929616768,0.3684210526315789,0.6052631578947368,0.0263157894736842,0.0069590063586432395,0.0133337449142744,0.020885491252179852,0.02426336549759811,0.0,0.0009411781590154623,0.46524562467189995,0.16912831097303194,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,3.6270671639312656e-16,0.0,0.5387980877293743,0.46120191227062507,1.4021814709242188e-16,2.8193038736663274e-17,0.0,0.6382288315251655,0.24209729152492196,0.11967387694991242,2.901936780618146e-16,0.0,0.7513740817178814,0.2486259182821182,0.0
2018-07-31,2018-07-31,2018-08-31,Bull,Bull,True,Bull,42,-3740.3905008304787,0,613,911,615,0.0008180834900233147,0.0044469701657933345,0.3333333333333333,0.5185185185185185,0.1481481481481481,0.00541051602913143,0.023340300379331307,0.02658777071158169,0.025204250801981732,0.0,0.00964340597590461,0.5236696682134637,0.21720905933157747,False,False,1.0,0.2,0.2,0.2,0.2,0.2,2.4580283236892233e-16,0.0,0.5436197907173267,0.4563802092826731,0.0,7.594315202600097e-16,0.0647912093873966,0.8352724562445001,0.09993633436809976,2.811453040344581e-15,0.0,0.0,0.6427695520520931,0.357230447947907,0.0
2018-08-31,2018-08-31,2018-09-30,Bull,Bull,True,Bull,42,-3755.7400360400384,0,635,912,615,0.0008388889422206015,0.0044539900146663034,0.3571428571428571,0.5,0.1428571428571428,-0.009259187661379897,-0.009820842793559482,0.0014340903342336465,-0.006335787326427734,0.0,0.0010994446577996103,0.04153985379942265,0.004312660875468007,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,0.0,3.7763253319488107e-16,0.5441695130462261,0.4558304869537735,0.0,5.170577984571691e-15,0.04402128248768531,0.8415158107561749,0.11446290675612439,1.0341041738895866e-14,5.3098201495596436e-15,2.8554514254669215e-16,0.6449258824898191,0.3550741175101729,2.3504771039493008e-15
2018-09-28,2018-09-30,2018-10-31,Bull,Bull,True,Crisis,42,-3766.1056277424623,0,650,914,617,0.0008038425074183286,0.004431254370375157,0.3793103448275862,0.4827586206896552,0.1379310344827586,-0.03756028773700715,-0.05115560488646535,-0.06119930550491461,-0.05550133370755204,0.0,0.009676974002310034,0.03570643415129658,0.026548776317837156,False,False,0.9999999999999999,0.2,0.2,0.2,0.2,0.2,1.0493898196126488e-16,0.0,0.549008000047381,0.45099199995261896,6.152326695528236e-17,2.6598584942295184e-15,0.04496470670655735,0.8584256036129511,0.09660968968048242,6.465424355143098e-15,1.4118110638062213e-15,1.0571823197109055e-16,0.6582002706487377,0.34179972935125963,1.1439345398941392e-15
2018-10-31,2018-10-31,2018-11-30,Crisis,Crisis,True,Crisis,42,-3807.5420326341014,2,657,910,637,0.00020517058070129783,0.013559499660172525,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.018300557082026273,0.01824201691974884,0.022318163172093064,0.017511162672455994,0.0,0.0058292587080729305,1.5063116704152872,0.37672616802721043,False,False,1.0,0.2,0.2,0.2,0.2,0.2,5.597037826293868e-17,0.0,0.5460933706933445,0.4539066293066551,2.832052865057201e-16,0.0,0.1409285779600208,0.10526976840531009,0.5314782772798773,0.2223233763547917,0.0,0.04689083422539045,0.469837186635135,0.4832719791394745,0.0
2018-11-30,2018-11-30,2018-12-31,Crisis,Crisis,True,Crisis,42,-3773.9647369003364,2,1149,704,372,-0.0002053537469387144,0.01595230128539283,0.3,0.2,0.5,-0.022622050733865695,-0.02107138618340317,0.02065021878125656,0.003567131920698048,0.0,0.006030954150836795,0.20982849811766963,0.31612499564173185,False,False,1.0,0.2,0.2,0.2,0.2,0.2,0.0,7.90548269506296e-17,0.5430778936179265,0.4569221063820734,0.0,0.0,0.10345928645355047,0.037824810852945645,0.6312899354156846,0.22742596727781927,2.1694794559141654e-16,0.03333625685456919,0.3253292661850904,0.5908040427073381,0.05053043425300213
