model,accuracy,log_loss,brier_score,n_predictions
Transition_Probability,0.5,0.9557410431917375,0.5874448495027995,96
SVC_RBF,0.3854166666666667,1.1005506002635188,0.6633669033296045,96
Extra_Trees,0.3958333333333333,1.1126794895912153,0.6628206100857706,96
Dummy_Prior,0.3333333333333333,1.165479254977717,0.7002087079989513,96
Smoothed_Persistence,0.4895833333333333,1.2845251715466262,0.7745833333333333,96
Random_Forest,0.3958333333333333,1.2856392895831437,0.6807810343841313,96
KNN,0.3333333333333333,1.4978505956598618,0.7231915143595443,96
Gradient_Boosting,0.4479166666666667,1.5263377063349708,0.7906061164122811,96
Logistic_Regression,0.40625,1.5485316617571039,0.7731998543899566,96
Hist_Gradient_Boosting,0.4166666666666667,1.8170228605120353,0.8864378030137964,96
Gaussian_NB,0.375,3.85155438800178,0.9927714171926855,96
Persistence,0.4895833333333333,9.402222477954853,1.0208333333333333,96
