,EFA,GLD,SPY,TLT,VNQ
EFA,0.03392521973037695,0.004335633791870441,0.027214034067657756,-0.00796422656429943,0.02609553474852475
GLD,0.004335633791870441,0.026891306402103608,0.00148199158024723,0.005109107160104384,0.003728842381550671
SPY,0.027214034067657756,0.00148199158024723,0.029565508765438772,-0.007642420523038765,0.026443904950996473
TLT,-0.00796422656429943,0.005109107160104384,-0.007642420523038765,0.022621172587068576,-0.0028909340679933054
VNQ,0.02609553474852475,0.003728842381550671,0.026443904950996473,-0.0028909340679933054,0.04224432057486666
