,EFA,GLD,SPY,TLT,VNQ
EFA,0.00013462388781895616,1.7204895999485876e-05,0.00010799219868118157,-3.160407366785488e-05,0.00010355370931954265
GLD,1.7204895999485876e-05,0.00010671153334168099,5.88091896923504e-06,2.0274234762318983e-05,1.4796993577582028e-05
SPY,0.00010799219868118157,5.88091896923504e-06,0.00011732344748189988,-3.0327065567614146e-05,0.00010493613075792251
TLT,-3.160407366785488e-05,2.0274234762318983e-05,-3.0327065567614146e-05,8.976655788519276e-05,-1.1471960587275022e-05
VNQ,0.00010355370931954265,1.4796993577582028e-05,0.00010493613075792251,-1.1471960587275022e-05,0.0001676361927574074
