Date,EFA,GLD,SPY,TLT,VNQ
2010-01-04,35.12844467163086,109.80000305175781,85.0279541015625,56.57503128051758,23.80386734008789
2010-01-05,35.159400939941406,109.69999694824219,85.2530517578125,56.940433502197266,23.777156829833984
2010-01-06,35.308021545410156,111.51000213623047,85.31305694580078,56.17818832397461,23.734397888183594
2010-01-07,35.171783447265625,110.81999969482422,85.6731948852539,56.27262496948242,23.990890502929688
2010-01-08,35.45043182373047,111.37000274658203,85.95829772949219,56.24747848510742,23.814552307128906
2010-01-11,35.741477966308594,112.8499984741211,86.0783462524414,55.93879318237305,23.953474044799805
2010-01-12,35.32039260864258,110.48999786376953,85.2755355834961,56.896324157714844,23.5527400970459
2010-01-13,35.61762619018555,111.54000091552734,85.99577331542969,56.2348518371582,24.02828025817871
2010-01-14,35.89008712768555,112.02999877929688,86.22838592529297,57.022308349609375,24.006914138793945
2010-01-15,35.32659149169922,110.86000061035156,85.26055145263672,57.37506103515625,23.82524299621582
2010-01-19,35.673362731933594,111.5199966430664,86.32591247558594,57.21125030517578,24.311464309692383
2010-01-20,34.763099670410156,108.94000244140625,85.44808959960938,57.79081726074219,24.03896713256836
2010-01-21,34.02003479003906,107.37000274658203,83.8050308227539,58.05539321899414,23.349699020385742
2010-01-22,33.357452392578125,107.16999816894531,81.93685150146484,57.954627990722656,22.761940002441406
2010-01-25,33.766151428222656,107.4800033569336,82.35698699951172,57.6900520324707,22.9222412109375
2010-01-26,33.574195861816406,107.55999755859375,82.01187896728516,57.708946228027344,22.708511352539062
2010-01-27,33.53703308105469,106.52999877929688,82.40202331542969,57.67742919921875,22.911550521850586
2010-01-28,32.97355270385742,106.4800033569336,81.4566421508789,57.64598846435547,22.713850021362305
2010-01-29,32.49673843383789,105.95999908447266,80.5714111328125,58.14989471435547,22.585620880126953
2010-02-01,33.09119415283203,108.3499984741211,81.82428741455078,57.62205123901367,22.99704360961914
2010-02-02,33.64230728149414,109.12999725341797,82.81465911865234,57.78642272949219,23.312294006347656
2010-02-03,33.28935623168945,108.69999694824219,82.40202331542969,57.116302490234375,22.93292808532715
2010-02-04,31.933258056640625,104.37000274658203,79.85863494873047,58.020259857177734,22.083370208740234
2010-02-05,31.87752342224121,104.68000030517578,80.02364349365234,58.146759033203125,22.489439010620117
2010-02-08,31.24591827392578,104.04000091552734,79.44597625732422,58.22259521484375,21.997867584228516
2010-02-09,32.23048400878906,105.41000366210938,80.44380950927734,57.64104080200195,21.928421020507812
2010-02-10,32.02613830566406,105.12000274658203,80.2862548828125,57.09102249145508,21.971155166625977
2010-02-11,32.323368072509766,107.12999725341797,81.12654876708984,56.78125762939453,22.179533004760742
2010-02-12,32.04472351074219,107.04000091552734,81.05908966064453,57.015174865722656,22.441349029541016
2010-02-16,32.75682067871094,109.62000274658203,82.33448028564453,57.12264633178711,23.07719612121582
2010-02-17,32.80016326904297,109.25,82.72461700439453,56.47145080566406,23.285579681396484
2010-02-18,32.98593521118164,109.9800033569336,83.21231079101562,56.243953704833984,23.63289451599121
2010-02-19,32.781585693359375,109.47000122070312,83.38488006591797,56.54735565185547,23.648916244506836
2010-02-22,32.843509674072266,109.06999969482422,83.39986419677734,56.31346130371094,23.707691192626953
2010-02-23,32.379093170166016,107.88999938964844,82.38702392578125,57.19214630126953,23.526025772094727
2010-02-24,32.58343505859375,107.36000061035156,83.144775390625,57.331302642822266,23.766462326049805
2010-02-25,32.38528823852539,108.30999755859375,83.0322494506836,57.65365219116211,23.85729217529297
2010-02-26,32.58343505859375,109.43000030517578,83.08475494384766,57.95077133178711,23.846607208251953
2010-03-01,32.83731460571289,109.43000030517578,83.94755554199219,57.925384521484375,24.049654006958008
2010-03-02,33.08500289916992,111.0199966430664,84.18016052246094,57.84928894042969,24.06032943725586
2010-03-03,33.48130416870117,111.62999725341797,84.25518798828125,57.703433990478516,23.9962215423584
2010-03-04,33.39461135864258,110.83000183105469,84.5102767944336,58.00782012939453,24.145837783813477
2010-03-05,34.044803619384766,110.80999755859375,85.71819305419922,57.24684524536133,24.803035736083984
2010-03-08,34.044803619384766,109.87999725341797,85.733154296875,56.948795318603516,25.054168701171875
2010-03-09,33.96430206298828,109.72000122070312,85.87572479248047,56.961448669433594,25.112951278686523
2010-03-10,34.10671615600586,108.47000122070312,86.2584228515625,56.815555572509766,25.337360382080078
2010-03-11,34.23675537109375,108.5999984741211,86.61849975585938,57.02484130859375,25.486974716186523
2010-03-12,34.46588134765625,107.94999694824219,86.62604522705078,57.3800048828125,25.690011978149414
2010-03-15,34.224369049072266,108.36000061035156,86.64855194091797,57.30392837524414,25.631229400634766
2010-03-16,34.6578254699707,110.4000015258789,87.33878326416016,57.76051330566406,26.25104331970215
2010-03-17,34.843597412109375,109.58999633789062,87.85649108886719,58.00782012939453,26.641088485717773
2010-03-18,34.63925552368164,110.33999633789062,87.81147766113281,57.817623138427734,26.496829986572266
2010-03-19,34.28630065917969,108.27999877929688,87.36698913574219,57.87467575073242,26.20830726623535
2010-03-22,34.3853645324707,107.75,87.83403778076172,57.93804931640625,26.53957748413086
2010-03-23,34.626869201660156,108.31999969482422,88.4517822265625,57.66538619995117,26.464767456054688
2010-03-24,34.057193756103516,106.30000305175781,88.02239990234375,56.61266326904297,26.60903549194336
2010-03-25,34.038612365722656,106.77999877929688,87.8792724609375,56.25120162963867,26.674175262451172
2010-03-26,34.37298583984375,108.58999633789062,87.82648468017578,56.409732818603516,26.534210205078125
2010-03-29,34.66402816772461,108.75,88.38400268554688,56.19407272338867,26.614953994750977
2010-03-30,34.66402816772461,107.97000122070312,88.44427490234375,56.37168884277344,26.577274322509766
2010-03-31,34.66402816772461,108.94999694824219,88.14292907714844,56.758480072021484,26.275808334350586
2010-04-01,35.27705383300781,110.26000213623047,88.74562072753906,56.619773864746094,26.410396575927734
2010-04-05,35.314205169677734,110.88999938964844,89.4688491821289,55.67768859863281,26.991792678833008
2010-04-06,35.215126037597656,111.02999877929688,89.6797866821289,55.76681900024414,27.610868453979492
2010-04-07,34.96744155883789,112.48999786376953,89.16749572753906,56.47970962524414,27.002561569213867
2010-04-08,34.93028259277344,112.6500015258789,89.47637939453125,56.505191802978516,27.034852981567383
2010-04-09,35.388511657714844,113.63999938964844,90.06403350830078,56.63887023925781,27.417070388793945
2010-04-12,35.49995803833008,113.01000213623047,90.20710754394531,56.93801498413086,27.244800567626953
2010-04-13,35.46901321411133,112.69000244140625,90.27493286132812,57.12262725830078,27.91232681274414
2010-04-14,35.93962097167969,113.02999877929688,91.29950714111328,56.72157287597656,27.955398559570312
2010-04-15,35.91485595703125,113.6500015258789,91.37483215332031,56.785247802734375,27.19096565246582
2010-04-16,35.12224578857422,111.23999786376953,89.92086791992188,57.198970794677734,26.56650733947754
2010-04-19,35.02936553955078,111.1500015258789,90.25987243652344,57.05894470214844,26.684938430786133
2010-04-20,35.246089935302734,111.45999908447266,91.06594848632812,57.262664794921875,27.137134552001953
2010-04-21,35.01698303222656,112.30999755859375,90.90020751953125,57.73367691040039,27.610868453979492
2010-04-22,34.701171875,111.83999633789062,91.17142486572266,57.561824798583984,28.036155700683594
2010-04-23,34.961246490478516,113.19000244140625,91.7665786743164,57.35812759399414,28.4075927734375
2010-04-26,34.99839401245117,112.75,91.42005920410156,57.421836853027344,28.633689880371094
2010-04-27,33.592769622802734,114.62999725341797,89.25788116455078,58.23021697998047,27.718536376953125
2010-04-28,33.59895324707031,114.30999755859375,89.93590545654297,57.73367691040039,27.804668426513672
2010-04-29,34.11910629272461,114.27999877929688,91.05086517333984,57.97557067871094,29.0589599609375
2010-04-30,33.69184112548828,115.36000061035156,89.50652313232422,58.643898010253906,28.15457534790039
2010-05-03,33.93333435058594,115.7300033569336,90.66668701171875,58.56728744506836,29.091264724731445
2010-05-04,32.58962631225586,114.87000274658203,88.53467559814453,59.621212005615234,28.42913246154785
2010-05-05,31.964216232299805,115.08999633789062,88.00731658935547,59.972591400146484,28.046913146972656
2010-05-06,30.540008544921875,118.48999786376953,85.08428955078125,61.82489013671875,26.894887924194336
2010-05-07,30.471893310546875,118.2699966430664,83.8186264038086,61.05203628540039,26.442691802978516
2010-05-10,32.44721221923828,117.56999969482422,87.51011657714844,59.78730392456055,28.186878204345703
2010-05-11,31.920873641967773,120.66000366210938,87.261474609375,59.633975982666016,28.353761672973633
2010-05-12,32.280025482177734,121.4000015258789,88.48191833496094,59.18046569824219,28.811344146728516
2010-05-13,31.858949661254883,120.55999755859375,87.38199615478516,59.570098876953125,28.342988967895508
2010-05-14,30.954891204833984,120.37000274658203,85.79997253417969,60.60489273071289,27.44399642944336
2010-05-17,30.998231887817383,119.36000061035156,85.8451919555664,60.38136672973633,27.48166847229004
2010-05-18,30.329465866088867,119.48999786376953,84.67748260498047,61.30751419067383,26.787227630615234
2010-05-19,30.447118759155273,116.62999725341797,84.1953353881836,61.51194763183594,26.539594650268555
2010-05-20,29.38825225830078,115.83999633789062,81.01615905761719,62.808616638183594,25.17762565612793
2010-05-21,30.106552124023438,115.22000122070312,82.19889068603516,62.87246322631836,26.022790908813477
2010-05-24,29.413026809692383,116.83999633789062,81.14424133300781,62.65530776977539,25.441404342651367
2010-05-25,29.301572799682617,117.36000061035156,81.22708892822266,62.96194076538086,25.645971298217773
2010-05-26,28.868106842041016,118.47000122070312,80.73745727539062,62.7830696105957,25.592134475708008
2010-05-27,30.509048461914062,118.69000244140625,83.44197082519531,61.35865783691406,26.997173309326172
2010-05-28,29.92078399658203,118.87999725341797,82.3947982788086,61.63969802856445,26.65264129638672
2010-06-01,29.62355613708496,119.91000366210938,81.00860595703125,62.07294845581055,26.09815788269043
2010-06-02,30.41616439819336,119.77999877929688,83.11802673339844,61.48328399658203,26.609577178955078
2010-06-03,30.323284149169922,117.95999908447266,83.4043197631836,61.03466033935547,26.534210205078125
2010-06-04,29.02910614013672,119.19000244140625,80.4737319946289,62.675376892089844,25.032272338867188
2010-06-07,28.66376304626465,121.48999786376953,79.47175598144531,63.15605926513672,24.897693634033203
2010-06-08,29.121984481811523,121.0,80.32305145263672,62.842079162597656,25.344507217407227
2010-06-09,29.0167179107666,120.55999755859375,79.89368438720703,62.77151870727539,25.495220184326172
2010-06-10,30.242773056030273,118.97000122070312,82.22905731201172,61.64998245239258,26.59880828857422
2010-06-11,30.2861270904541,120.01000213623047,82.62833404541016,62.431880950927734,26.916423797607422
2010-06-14,30.478092193603516,119.5999984741211,82.50028228759766,62.111358642578125,27.25018310546875
2010-06-15,31.44406509399414,120.98999786376953,84.3761215209961,61.855045318603516,27.85849380493164
2010-06-16,31.295461654663086,120.33000183105469,84.34599304199219,62.20750427246094,27.605485916137695
2010-06-17,31.394535064697266,121.9000015258789,84.48162841796875,62.7138671875,27.664695739746094
2010-06-18,31.338804244995117,122.83000183105469,84.57320404052734,62.611305236816406,27.57857894897461
2010-06-21,31.332595825195312,120.38999938964844,84.33094024658203,62.431880950927734,27.363235473632812
2010-06-22,30.93630599975586,121.44999694824219,82.9382095336914,63.175357818603516,26.55035972595215
2010-06-23,31.14358901977539,120.94999694824219,82.6808090209961,63.604736328125,26.620344161987305
2010-06-24,30.60175323486328,121.30000305175781,81.310791015625,63.22661590576172,26.056825637817383
